positive,neutral,negative
0.934,0.062,0.004
0.958,0.04,0.002
0.941,0.056,0.003
0.975,0.022,0.004
0.986,0.012,0.002
0.562,0.431,0.006
0.77,0.226,0.004
0.943,0.055,0.002
0.845,0.151,0.004
0.895,0.102,0.003
0.793,0.202,0.005
0.792,0.205,0.003
0.921,0.077,0.003
0.862,0.134,0.004
0.11,0.868,0.022
0.898,0.099,0.002
0.612,0.38,0.009
0.194,0.802,0.004
0.941,0.057,0.003
0.936,0.061,0.002
0.958,0.04,0.002
0.836,0.159,0.005
0.334,0.66,0.006
0.963,0.034,0.003
0.955,0.043,0.003
0.95,0.047,0.003
0.956,0.041,0.002
0.422,0.569,0.009
0.922,0.075,0.003
0.962,0.036,0.002
0.555,0.441,0.004
0.9,0.097,0.003
0.949,0.049,0.002
0.962,0.036,0.003
0.962,0.036,0.002
0.76,0.236,0.004
0.775,0.221,0.003
0.921,0.076,0.003
0.971,0.027,0.002
0.682,0.313,0.005
0.955,0.042,0.003
0.904,0.092,0.004
0.941,0.056,0.003
0.953,0.044,0.003
0.356,0.638,0.006
0.972,0.025,0.003
0.965,0.032,0.003
0.931,0.066,0.003
0.479,0.516,0.005
0.555,0.438,0.007
0.946,0.051,0.003
0.933,0.065,0.003
0.94,0.058,0.002
0.932,0.064,0.004
0.212,0.778,0.01
0.971,0.027,0.002
0.817,0.178,0.006
0.936,0.062,0.002
0.984,0.014,0.002
0.78,0.213,0.007
0.968,0.029,0.003
0.871,0.126,0.003
0.894,0.102,0.004
0.921,0.076,0.003
0.933,0.064,0.002
0.934,0.062,0.004
0.958,0.04,0.002
0.831,0.167,0.003
0.197,0.797,0.006
0.579,0.417,0.004
0.928,0.069,0.003
0.955,0.043,0.003
0.946,0.051,0.004
0.895,0.102,0.003
0.272,0.603,0.125
0.916,0.082,0.003
0.896,0.1,0.004
0.919,0.079,0.003
0.626,0.369,0.005
0.922,0.076,0.002
0.747,0.248,0.005
0.93,0.068,0.002
0.967,0.031,0.002
0.227,0.769,0.004
0.959,0.038,0.003
0.612,0.385,0.004
0.923,0.074,0.003
0.971,0.027,0.002
0.459,0.536,0.005
0.274,0.721,0.005
0.103,0.891,0.006
0.902,0.094,0.003
0.969,0.028,0.002
0.964,0.033,0.002
0.915,0.081,0.004
0.834,0.161,0.004
0.778,0.216,0.006
0.689,0.297,0.014
0.944,0.053,0.003
0.95,0.047,0.003
0.791,0.205,0.004
0.943,0.055,0.002
0.935,0.062,0.003
0.685,0.311,0.004
0.898,0.1,0.003
0.76,0.237,0.003
0.607,0.389,0.004
0.874,0.122,0.003
0.559,0.433,0.008
0.977,0.02,0.002
0.96,0.037,0.003
0.654,0.341,0.004
0.962,0.036,0.002
0.971,0.027,0.002
0.875,0.121,0.003
0.754,0.242,0.004
0.273,0.719,0.008
0.966,0.032,0.002
0.985,0.013,0.002
0.488,0.508,0.004
0.913,0.083,0.003
0.942,0.056,0.002
0.62,0.376,0.004
0.978,0.021,0.001
0.735,0.261,0.004
0.916,0.082,0.002
0.726,0.27,0.004
0.944,0.054,0.002
0.963,0.035,0.002
0.903,0.094,0.003
0.924,0.074,0.003
0.552,0.443,0.005
0.902,0.095,0.003
0.886,0.111,0.003
0.978,0.02,0.003
0.962,0.036,0.002
0.918,0.079,0.003
0.749,0.245,0.005
0.888,0.109,0.003
0.956,0.039,0.005
0.845,0.152,0.003
0.94,0.055,0.004
0.888,0.11,0.002
0.692,0.3,0.008
0.958,0.04,0.002
0.972,0.025,0.002
0.75,0.23,0.02
0.784,0.213,0.003
0.944,0.052,0.004
0.766,0.231,0.003
0.945,0.052,0.002
0.659,0.337,0.004
0.884,0.114,0.002
0.959,0.039,0.002
0.656,0.339,0.005
0.952,0.046,0.002
0.671,0.325,0.004
0.89,0.107,0.003
0.946,0.052,0.002
0.966,0.029,0.005
0.91,0.088,0.002
0.979,0.018,0.002
0.861,0.134,0.005
0.972,0.025,0.002
0.563,0.434,0.003
0.937,0.06,0.002
0.91,0.088,0.002
0.84,0.156,0.004
0.874,0.122,0.004
0.955,0.044,0.002
0.945,0.049,0.006
0.95,0.047,0.003
0.951,0.047,0.002
0.921,0.076,0.003
0.942,0.056,0.002
0.975,0.023,0.002
0.545,0.451,0.005
0.945,0.052,0.003
0.964,0.034,0.003
0.901,0.094,0.005
0.916,0.079,0.005
0.791,0.204,0.004
0.948,0.05,0.002
0.916,0.08,0.004
0.971,0.027,0.002
0.553,0.442,0.005
0.956,0.041,0.003
0.981,0.017,0.002
0.826,0.17,0.005
0.87,0.123,0.007
0.872,0.124,0.004
0.945,0.053,0.002
0.966,0.032,0.002
0.978,0.019,0.003
0.931,0.067,0.003
0.949,0.049,0.003
0.921,0.076,0.003
0.51,0.481,0.009
0.966,0.032,0.003
0.899,0.098,0.003
0.153,0.741,0.106
0.902,0.095,0.003
0.942,0.056,0.002
0.941,0.056,0.003
0.504,0.491,0.005
0.964,0.034,0.002
0.553,0.442,0.005
0.914,0.084,0.003
0.959,0.038,0.003
0.837,0.159,0.004
0.579,0.416,0.005
0.877,0.12,0.003
0.778,0.219,0.003
0.968,0.03,0.003
0.547,0.447,0.005
0.901,0.096,0.003
0.321,0.673,0.006
0.827,0.168,0.005
0.98,0.017,0.002
0.944,0.054,0.002
0.528,0.466,0.006
0.941,0.056,0.003
0.191,0.795,0.014
0.901,0.096,0.004
0.443,0.552,0.004
0.952,0.046,0.003
0.704,0.29,0.006
0.119,0.797,0.083
0.974,0.024,0.002
0.955,0.041,0.004
0.965,0.032,0.003
0.974,0.024,0.002
0.932,0.066,0.002
0.398,0.598,0.004
0.922,0.075,0.003
0.962,0.036,0.003
0.875,0.123,0.002
0.917,0.081,0.003
0.897,0.1,0.003
0.22,0.77,0.01
0.975,0.023,0.002
0.872,0.125,0.003
0.973,0.025,0.002
0.971,0.026,0.002
0.979,0.017,0.004
0.87,0.127,0.003
0.963,0.035,0.002
0.954,0.044,0.002
0.146,0.841,0.013
0.338,0.659,0.003
0.938,0.059,0.003
0.968,0.028,0.004
0.972,0.026,0.002
0.953,0.044,0.003
0.948,0.05,0.002
0.947,0.051,0.003
0.897,0.099,0.004
0.518,0.477,0.005
